Object Name,Catalog No.,Reference Star Object Name,Reference Star Catalog No.,hh,mm,ss,deg,','',Reference Epoch,Reference Star Magnitude (V)
HIP_24105,HIP 24105,2MASS_J05101459+4941407,2MASS J05101459+4941407,05,10,14.5992,49,41,40.779,J2000,14.878
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
HD__38262,HD  38262,2MASS_J05451548+1338164,2MASS J05451548+1338164,05,45,15.4834,13,38,16.325,J2000,10.62
2MASS_J05343666+2612086,2MASS J05343666+2612086,2MASS_J05343814+2614262,2MASS J05343814+2614262,05,34,38.1443,26,14,26.341,J2000,11.3
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J05270649+1656111,2MASS J05270649+1656111,2MASS_J05270551+1652515,2MASS J05270551+1652515,05,27,05.5105,16,52,51.647,J2000,10.63
HD__38321,HD  38321,HD_247180,HD 247180,05,45,23.2795,18,43,37.742,J2000,9.53
HD__45412,HD  45412,HD_257490,HD 257490,06,28,14.3873,30,31,54.463,J2000,10.29
2MASS_J06052444+2847229,2MASS J06052444+2847229,2MASS_J06053375+2850214,2MASS J06053375+2850214,06,05,33.7489,28,50,21.461,J2000,11.69
HD__46595,HD  46595,2MASS_J06345259+1521564,2MASS J06345259+1521564,06,34,52.5970,15,21,56.379,J2000,9.81
HD_250642,HD 250642,HD_250689A,HD 250689A,06,02,51.5674,22,16,23.419,J2000,10.23
HD_251549,HD 251549,HD_251488,HD 251488,06,06,21.9294,26,16,24.556,J2000,10.88
HD_262433,HD 262433,2MASS_J06431315+2056494,2MASS J06431315+2056494,06,43,13.1525,20,56,49.316,J2000,9.56
HIP_31361,HIP 31361,2MASS_J06343010+1259022,2MASS J06343010+1259022,06,34,30.1091,12,59,02.256,J2000,11.54
2MASS_J06155987+2344509,2MASS J06155987+2344509,2MASS_J06153765+2345597,2MASS J06153765+2345597,06,15,37.6594,23,45,59.694,J2000,11.73
2MASS_J06503233+0000251,2MASS J06503233+0000251,2MASS_J06503544+0004514,2MASS J06503544+0004514,06,50,35.4445,00,04,51.554,J2000,11.77
HIP_32854,HIP 32854,HD_292631,HD 292631,06,50,48.1756,-01,30,15.830,J2000,10.42
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J06311454+1151013,2MASS J06311454+1151013,2MASS_J06312051+1155001,2MASS J06312051+1155001,06,31,20.5170,11,55,00.098,J2000,15.241
2MASS_J06333718+0912127,2MASS J06333718+0912127,2MASS_J06334986+0913357,2MASS J06334986+0913357,06,33,49.8661,09,13,35.747,J2000,12.835
2MASS_J06521217-0248250,2MASS J06521217-0248250,2MASS_J06520987-0254040,2MASS J06520987-0254040,06,52,09.8742,-02,54,04.096,J2000,11.47
HIP_31905,HIP 31905,2MASS_J06400246+0739462,2MASS J06400246+0739462,06,40,02.4663,07,39,46.237,J2000,11.53
